brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
89861.0,sold,223300.0,2.0,1.0,0.2,829508.0,Saint Louis,Missouri,63144.0,1013.0,2022-04-21
65577.0,sold,475000.0,3.0,,0.15,57702.0,Baltimore,Maryland,21218.0,2238.0,2022-03-31
35855.0,for_sale,1699000.0,2.0,3.0,,970142.0,Fort Lauderdale,Florida,33301.0,2210.0,2021-05-03
70287.0,sold,415000.0,3.0,2.0,0.11,707251.0,Orlando,Florida,32828.0,1379.0,2022-04-11
83484.0,sold,910000.0,4.0,3.0,0.23,177188.0,San Marcos,California,92069.0,2188.0,2022-04-11
16829.0,for_sale,1495000.0,6.0,4.0,0.22,1408668.0,Bethesda,Maryland,20817.0,2949.0,
48838.0,for_sale,159900.0,2.0,3.0,0.04,177419.0,Houston,Texas,77089.0,1874.0,
104297.0,sold,515000.0,4.0,2.0,0.17,529348.0,Reno,Nevada,89503.0,1384.0,2022-04-08
38539.0,sold,1299000.0,3.0,4.0,0.6,603034.0,South Dennis,Massachusetts,2660.0,2616.0,2021-11-30
48711.0,for_sale,2399900.0,4.0,3.0,0.15,1711073.0,Kirkland,Washington,98034.0,3020.0,2016-05-31
91677.0,sold,425000.0,4.0,2.0,0.21,91780.0,Rainier,Washington,98576.0,2600.0,2022-02-28
16563.0,sold,695000.0,3.0,3.0,0.39,349722.0,Port Townsend,Washington,98368.0,1940.0,2022-03-03
56894.0,for_sale,497500.0,5.0,3.0,0.24,824761.0,San Antonio,Texas,78260.0,2920.0,
90915.0,for_sale,1750000.0,3.0,4.0,,834782.0,Orange Beach,Alabama,36561.0,2301.0,2020-11-17
34908.0,sold,315832.0,3.0,3.0,,209137.0,Clover,South Carolina,29710.0,1573.0,2022-02-25
63832.0,sold,220000.0,3.0,3.0,0.2,148526.0,Oklahoma City,Oklahoma,73139.0,2710.0,2022-01-28
53341.0,for_sale,517720.0,5.0,3.0,1.05,865032.0,Carthage,North Carolina,28327.0,3040.0,
7907.0,for_sale,459900.0,4.0,5.0,0.34,610755.0,Bloomington,Illinois,61704.0,4304.0,
83252.0,sold,389900.0,3.0,3.0,0.18,525776.0,Saint Louis,Missouri,63119.0,1900.0,2021-12-02
10813.0,sold,819000.0,3.0,2.0,0.18,1811497.0,Salinas,California,93901.0,1897.0,2022-04-08
65485.0,for_sale,101000.0,2.0,2.0,0.16,396954.0,Oklahoma City,Oklahoma,73106.0,1224.0,2021-10-12
16113.0,for_sale,305000.0,3.0,2.0,0.85,971868.0,Bloomington,Indiana,47403.0,2072.0,2020-03-10
109401.0,for_sale,849888.0,5.0,3.0,0.22,1633361.0,Hudson,Colorado,80642.0,4477.0,
52823.0,for_sale,430000.0,4.0,2.0,0.16,346023.0,Dallas,Texas,75216.0,1901.0,
106586.0,for_sale,365000.0,2.0,2.0,,65206.0,Thornton,Colorado,80229.0,1465.0,2018-02-21
78963.0,for_sale,799000.0,4.0,4.0,1.33,960614.0,Greenville,North Carolina,27834.0,5279.0,
45531.0,sold,1495000.0,4.0,3.0,0.7,252760.0,Boulder,Colorado,80303.0,4780.0,2021-12-01
52468.0,for_sale,265000.0,2.0,2.0,0.08,1546295.0,Cocoa,Florida,32927.0,1036.0,2018-08-02
46789.0,sold,400000.0,3.0,2.0,0.24,1107592.0,Sacramento,California,95821.0,1075.0,2021-11-12
62328.0,sold,620000.0,3.0,2.0,1.05,1632407.0,Highland,Maryland,20777.0,2178.0,2022-03-17
53252.0,sold,495000.0,1.0,1.0,0.15,1138998.0,Cape May Beach,New Jersey,8204.0,1608.0,2021-11-15
935.0,for_sale,250000.0,3.0,2.0,0.38,1727808.0,Wonder Lake,Illinois,60097.0,1551.0,2008-10-24
22491.0,for_sale,165000.0,4.0,2.0,0.09,659466.0,Portsmouth,Virginia,23704.0,1688.0,2017-02-15
52961.0,sold,1200000.0,4.0,5.0,0.41,591626.0,Houston,Texas,77094.0,4555.0,2022-04-22
55359.0,for_sale,334988.0,3.0,2.0,0.18,1051510.0,Zephyrhills,Florida,33541.0,1490.0,2022-01-04
87855.0,for_sale,85000.0,4.0,2.0,0.08,1043814.0,Detroit,Michigan,48206.0,2308.0,2018-10-19
30453.0,for_sale,312000.0,3.0,2.0,0.19,78599.0,El Centro,California,92243.0,1631.0,2020-12-21
109914.0,for_sale,130000.0,4.0,2.0,,434198.0,Biloxi,Mississippi,39532.0,1336.0,2021-10-01
21695.0,for_sale,186500.0,2.0,2.0,0.09,675614.0,Merritt Island,Florida,32953.0,1187.0,2000-10-24
85193.0,for_sale,14000.0,,,0.13,1059630.0,Indianapolis,Indiana,46218.0,1650.0,2005-05-03
47819.0,for_sale,240000.0,4.0,2.0,0.23,919678.0,Jonestown,Pennsylvania,17038.0,1740.0,2006-03-24
45545.0,for_sale,679394.0,4.0,4.0,0.12,1754767.0,Colorado Springs,Colorado,80924.0,2800.0,
11268.0,for_sale,390000.0,4.0,3.0,0.23,562773.0,Willingboro,New Jersey,8046.0,2717.0,2022-03-31
52781.0,for_sale,1150000.0,5.0,4.0,2.01,1068346.0,North Port,Florida,34288.0,4534.0,2004-02-12
108602.0,for_sale,288990.0,4.0,3.0,0.46,1052320.0,Dallas,Georgia,30132.0,2376.0,2021-12-20
28549.0,for_sale,164900.0,3.0,3.0,0.5,1590251.0,Indianapolis,Indiana,46268.0,2660.0,2010-09-01
22326.0,for_sale,580000.0,5.0,3.0,3.08,571989.0,Apple Valley,California,92308.0,2800.0,2022-01-14
27537.0,sold,325000.0,3.0,4.0,3.0,379416.0,Florissant,Missouri,63034.0,4550.0,2021-12-21
8621.0,for_sale,209900.0,3.0,2.0,0.21,532711.0,Grand Island,Nebraska,68803.0,2096.0,
11552.0,for_sale,498900.0,3.0,2.0,0.33,657149.0,Slinger,Wisconsin,53086.0,1670.0,
8024.0,sold,660000.0,4.0,2.0,0.17,1636168.0,Rancho Cucamonga,California,91730.0,1346.0,2021-12-06
92683.0,for_sale,1100000.0,6.0,4.0,0.63,557343.0,Pearl City,Hawaii,96782.0,3232.0,1990-08-10
